category	subcategory	disease	term
A00	A00	CÓLERA	Canonical
A00	A000	CÓLERA DEBIDO A VIBRIO CHOLERAE 01, BIOTIPO CHOLERAE	Canonical
A00	A001	CÓLERA DEBIDO A VIBRIO CHOLERAE 01, BIOTIPO EL TOR	Canonical
A00	A009	CÓLERA, NO ESPECIFICADO	Canonical
A01	A01	FIEBRES TIFOIDEA Y PARATIFOIDEA	Canonical
A01	A010	FIEBRE TIFOIDEA	Canonical
A01	A011	FIEBRE PARATIFOIDEA A	Canonical
A01	A012	FIEBRE PARATIFOIDEA B	Canonical
A01	A013	FIEBRE PARATIFOIDEA C	Canonical
A01	A014	FIEBRE PARATIFOIDEA, NO ESPECIFICADA	Canonical
A02	A02	OTRAS INFECCIONES DEBIDAS A SALMONELLA	Canonical
A02	A020	ENTERITIS DEBIDA A SALMONELLA	Canonical
A02	A021	SEPSIS DEBIDA A SALMONELLA	Canonical
A02	A022	INFECCIONES LOCALIZADAS DEBIDAS A SALMONELLA	Canonical
A02	A028	OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA	Canonical
A02	A029	INFECCIÓN DEBIDA A SALMONELLA, NO ESPECIFICADA	Canonical
A03	A03	SHIGELOSIS	Canonical
A03	A030	SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE	Canonical
A03	A031	SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI	Canonical
A03	A032	SHIGELOSIS DEBIDA A SHIGELLA BOYDII	Canonical
A03	A033	SHIGELOSIS DEBIDA A SHIGELLA SONNEI	Canonical
A03	A038	OTRAS SHIGELOSIS	Canonical
A03	A039	SHIGELOSIS DE TIPO NO ESPECIFICADO	Canonical
A04	A04	OTRAS INFECCIONES INTESTINALES BACTERIANAS	Canonical
A04	A040	INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROPATÓGENA	Canonical
A04	A041	INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROTOXÍGENA	Canonical
A04	A042	INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROINVASIVA	Canonical
A04	A043	INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROHEMORRÁGICA	Canonical
A04	A044	OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI	Canonical
A04	A045	ENTERITIS DEBIDA A CAMPYLOBACTER	Canonical
A04	A046	ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA	Canonical
A04	A047	ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE	Canonical
A04	A048	OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS	Canonical
A04	A049	INFECCIÓN INTESTINAL BACTERIANA, NO ESPECIFICADA	Canonical
A05	A05	OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS, NO CLASIFICADAS EN OTRA PARTE	Canonical
A05	A050	INTOXICACIÓN ALIMENTARIA ESTAFILOCÓCICA	Canonical
A05	A051	BOTULISMO	Canonical
A05	A052	INTOXICACIÓN ALIMENTARIA DEBIDA A CLOSTRIDIUM PERFRINGENS [CLOSTRIDIUM WELCHII]	Canonical
A05	A053	INTOXICACIÓN ALIMENTARIA DEBIDA A VIBRIO PARAHAEMOLYTICUS	Canonical
A05	A054	INTOXICACIÓN ALIMENTARIA DEBIDA A BACILLUS CEREUS	Canonical
A05	A058	OTRAS INTOXICACIONES ALIMENTARIAS DEBIDAS A BACTERIAS ESPECIFICADAS	Canonical
A05	A059	INTOXICACIÓN ALIMENTARIA BACTERIANA, NO ESPECIFICADA	Canonical
A06	A06	AMEBIASIS	Canonical
A06	A060	DISENTERÍA AMEBIANA AGUDA	Canonical
A06	A061	AMEBIASIS INTESTINAL CRÓNICA	Canonical
A06	A062	COLITIS AMEBIANA NO DISENTÉRICA	Canonical
A06	A063	AMEBOMA INTESTINAL	Canonical
A06	A064	ABSCESO AMEBIANO DEL HÍGADO	Canonical
A06	A065	ABSCESO AMEBIANO DEL PULMÓN	Canonical
A06	A066	ABSCESO AMEBIANO DEL CEREBRO	Canonical
A06	A067	AMEBIASIS CUTÁNEA	Canonical
A06	A068	INFECCIÓN AMEBIANA DE OTRAS LOCALIZACIONES	Canonical
A06	A069	AMEBIASIS, NO ESPECIFICADA	Canonical
A07	A07	OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS	Canonical
A07	A070	BALANTIDIASIS	Canonical
A07	A071	GIARDIASIS [LAMBLIASIS]	Canonical
A07	A072	CRIPTOSPORIDIOSIS	Canonical
A07	A073	ISOSPORIASIS	Canonical
A07	A078	OTRAS ENFERMEDADES INTESTINALES ESPECIFICADAS DEBIDAS A PROTOZOARIOS	Canonical
A07	A079	ENFERMEDAD INTESTINAL DEBIDA A PROTOZOARIOS, NO ESPECIFICADA	Canonical
A08	A08	INFECCIONES INTESTINALES DEBIDAS A VIRUS Y OTROS ORGANISMOS ESPECIFICADOS	Canonical
A08	A080	ENTERITIS DEBIDA A ROTAVIRUS	Canonical
A08	A081	GASTROENTEROPATÍA AGUDA DEBIDA AL AGENTE DE NORWALK	Canonical
A08	A082	ENTERITIS DEBIDA A ADENOVIRUS	Canonical
A08	A083	OTRAS ENTERITIS VIRALES	Canonical
A08	A084	INFECCIÓN INTESTINAL VIRAL, SIN OTRA ESPECIFICACIÓN	Canonical
A08	A085	OTRAS INFECCIONES INTESTINALES ESPECIFICADAS	Canonical
A09	A09	OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO Y NO ESPECIFICADO	Canonical
A09	A090	OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO	Canonical
A09	A099	GASTROENTERITIS Y COLITIS DE ORIGEN NO ESPECIFICADO	Canonical
A09	A09X	DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSO	Canonical
