category	subcategory	disease	term
U07	U07	CASOS DE EMERGENCIA 2020	Canonical
U07	U071	COVID-19, virus identificado	Canonical
U07	U071	COVID 19 confirmado	Inclusion
U07	U071	COVID 19 positivo	Inclusion
U07	U071	COV 2 confirmado	Inclusion
U07	U071	COV2 confirmado	Inclusion
U07	U071	COV confirmado	Inclusion
U07	U071	CASO CONFIRMADO COVID-19	Inclusion
U07	U071	CASO CONFIRMADO POR COVID-19	Inclusion
U07	U071	CASO CONFIRMADO DE COVID-19	Inclusion
U07	U071	CASO CONFIRMADO DE SARS COV-2	Inclusion
U07	U071	CASO CONFIRMADO SARS COV-2	Inclusion
U07	U071	SARS COV 2 CASO CONFIRMADO	Inclusion
U07	U071	viralcodiv 19	Inclusion
U07	U072	COVID-19 CASO CONFIRMADO I	Inclusion
U07	U072	COVID-19, virus no identificado	Canonical
U07	U072	COVID 19 no confirmado	Inclusion
U07	U072	probable COVID 19	Inclusion
U07	U072	probable sarscov	Inclusion
U07	U072	probable sarscov2	Inclusion
U07	U072	probable sars cov 19	Inclusion
U07	U072	probable infeccion por cov2	Inclusion
U07	U072	probable infeccion por cov 2	Inclusion
U07	U073	COVID-19, sin especificar	Canonical
U07	U073	COVID 19	Inclusion
U07	U073	sarscov2	Inclusion
U07	U073	covid19	Inclusion
U07	U073	2019	Inclusion
U07	U073	sars	Inclusion
U07	U073	sarscov	Inclusion
U07	U073	Covid 19 por sars cov 2	Inclusion
U07	U073	Covid 19 por sars cov2	Inclusion
