category	subcategory	disease	term
A00	A000	Cólera clásico	Inclusion
A00	A000	Cólera debido a Vibrio cholerae O1, biotipo cholerae	Canonical
A00	A001	Cólera debido a Vibrio cholerae O1, biotipo El Tor	Canonical
A00	A001	Cólera El Tor	Inclusion
A00	A009	Cólera, no especificado	Canonical
A01	A010	Fiebre tifoidea	Canonical
A01	A010	Infección debida a Salmonella typhi	Inclusion
A01	A011	Fiebre paratifoidea a	Canonical
A01	A012	Fiebre paratifoidea b	Canonical
A01	A013	Fiebre paratifoidea c	Canonical
A01	A014	Fiebre paratifoidea, no especificada	Canonical
A01	A014	Infección debida a Salmonella paratyphi SAI	Inclusion
A02	A020	Enteritis debida a salmonella	Canonical
A02	A020	Salmonelosis	Inclusion
A02	A021	Septicemia debida a salmonella	Canonical
A02	A022	Infecciones localizadas debidas a Salmonella	Canonical
A02	A028	Otras infecciones especificadas como debidas a Salmonella	Canonical
A02	A029	Infección debida a Salmonella, no especificada	Canonical
A03	A030	Shigelosis debida a Shigella dysenteriae	Canonical
A03	A030	Shigelosis grupo A	Inclusion
A03	A030	disentería de Shiga-Kruse	Inclusion
A03	A031	Shigelosis debida a Shigella flexneri	Canonical
A03	A031	Shigelosis grupo B	Inclusion
A03	A032	Shigelosis debida a Shigella boydii	Canonical
A03	A032	Shigelosis grupo C	Inclusion
A03	A033	Shigelosis debida a Shigella sonnei	Canonical
A03	A033	Shigelosis grupo D	Inclusion
A03	A038	Otras shigelosis	Canonical
A03	A039	Shigelosis de tipo no especificado	Canonical
A03	A039	Disentería bacilar SAI	Inclusion
A04	A040	Infección debida a Escherichia coli enteropatógena	Canonical
A04	A041	Infección debida a Escherichia coli enterotoxígena	Canonical
A04	A042	Infección debida a Escherichia coli enteroinvasiva	Canonical
A04	A043	Infección debida a Escherichia coli enterohemorrágica	Canonical
A04	A044	Otras infecciones intestinales debidas a Escherichia coli	Canonical
A04	A044	Enteritis debida a Escherichia coli SAI	Inclusion
A04	A045	Enteritis debida a Campylobacter	Canonical
A04	A046	Enteritis debida a Yersinia enterocolítica	Canonical
A04	A047	Enterocolitis debida a Clostridium difficile	Canonical
A04	A047	Colitis seudomembranosa	Inclusion
A04	A047	Intoxicación alimentaria por Clostridium difficile	Inclusion
A04	A048	Otras infecciones intestinales bacterianas especificadas	Canonical
A04	A049	Infección intestinal bacteriana, no especificada	Canonical
A04	A049	Enteritis bacteriana SAI	Inclusion
A05	A050	Intoxicación alimentaria estafilocócica	Canonical
A05	A051	Botulismo	Canonical
A05	A051	Intoxicación alimentaria clásica debida a Clostridium botulinum	Inclusion
A05	A052	Intoxicación alimentaria debida a Clostridium perfringens [Clostridium welchii]	Canonical
A05	A052	Enteritis necrótica	Inclusion
A05	A052	Pig-bel	Inclusion
A05	A053	Intoxicación alimentaria debida a Vibrio parahaemolyticus	Canonical
A05	A054	Intoxicación alimentaria debida a Bacillus cereus	Canonical
A05	A058	Otras intoxicaciones alimentarias debidas a bacterias especificadas	Canonical
A05	A059	Intoxicación alimentaria bacteriana, no especificada	Canonical
A06	A060	Disentería amebiana aguda	Canonical
A06	A060	Amebiasis aguda	Inclusion
A06	A060	Amebiasis intestinal SAI	Inclusion
A06	A061	Amebiasis intestinal crónica	Canonical
A06	A062	Colitis amebiana no disentérica	Canonical
A06	A063	Ameboma intestinal	Canonical
A06	A063	Ameboma SAI	Inclusion
A06	A064	Absceso amebiano del hígado	Canonical
A06	A064	Amebiasis hepática	Inclusion
A06	A065	Absceso amebiano del pulmón	Canonical
A06	A065	Absceso amebiano del pulmón y del hígado	Inclusion
A06	A066	Absceso amebiano del cerebro	Canonical
A06	A066	Absceso amebiano del cerebro (y del hígado) (y del pulmón)	Inclusion
A06	A067	Amebiasis cutánea	Canonical
A06	A068	Infección amebiana de otras localizaciones	Canonical
A06	A068	Apendicitis amebiana	Inclusion
A06	A068	Balanitis amebiana	Inclusion
A06	A069	Amebiasis, no especificada	Canonical
A07	A070	Balantidiasis	Canonical
